date,usd,eur,gbp,jpy
2010-12-21,0.630000,1.087312,1.126040,0.206000
2010-12-22,0.650000,1.022103,1.146722,0.214000
2010-12-23,0.670000,0.987805,1.144972,
2010-12-24,,0.985377,1.160086,0.214000
2010-12-27,0.710000,1.006892,,0.204000
2010-12-28,0.750000,0.938530,,0.197000
2010-12-29,0.640000,0.954015,1.179984,0.192000
2010-12-30,0.660000,0.932226,1.099376,0.167000
2010-12-31,0.610000,0.928690,1.031169,
2011-01-03,0.610000,0.902360,,
2011-01-04,0.630000,0.915539,1.086206,0.173000
2011-01-05,0.710000,0.948534,1.134552,0.168000
2011-01-06,0.680000,0.981023,1.125548,0.178000
2011-01-07,0.600000,0.955041,1.137713,0.173000
2011-01-10,0.590000,0.947224,1.184118,
2011-01-11,0.600000,0.945510,1.238747,0.165000
2011-01-12,0.610000,1.027747,1.296855,0.170000
2011-01-13,0.590000,1.124095,1.254114,0.179000
2011-01-14,0.590000,1.181935,1.272034,0.185000
2011-01-17,,1.191043,1.277560,0.190000
2011-01-18,0.600000,1.254459,1.308516,0.195000
2011-01-19,0.600000,1.221132,1.241078,0.196000
2011-01-20,0.650000,1.314483,1.284747,0.185000
2011-01-21,0.630000,1.358601,1.280855,0.186000
2011-01-24,0.650000,1.350695,1.254511,0.197000
2011-01-25,0.620000,1.345731,1.132888,0.202000
2011-01-26,0.620000,1.388239,1.205885,0.202000
2011-01-27,0.590000,1.406081,1.219109,0.195000
2011-01-28,0.540000,1.502181,1.211817,0.195000
2011-01-31,0.580000,1.481575,1.235696,0.195000
2011-02-01,0.610000,1.479645,1.330797,0.195000
2011-02-02,0.670000,1.492800,1.420403,0.195000
2011-02-03,0.710000,1.456485,1.371798,0.200000
2011-02-04,0.770000,1.480574,1.451563,0.208000
2011-02-07,0.780000,1.474978,1.481992,0.213000
2011-02-08,0.860000,1.502814,1.463420,0.222000
2011-02-09,0.810000,1.526750,1.494522,0.238000
2011-02-10,0.850000,1.542959,1.487386,0.238000
2011-02-11,0.850000,1.503328,1.476277,
2011-02-14,0.870000,1.512544,1.456108,0.230000
2011-02-15,0.840000,1.522384,1.488326,0.230000
2011-02-16,0.860000,1.482864,1.456189,0.245000
2011-02-17,0.800000,1.445936,1.413475,0.236000
2011-02-18,0.780000,1.485005,1.483711,0.226000
2011-02-21,,1.485752,1.443963,0.232000
2011-02-22,0.740000,1.529636,1.446305,0.222000
2011-02-23,0.740000,1.538257,1.475392,0.222000
2011-02-24,0.730000,1.515211,1.420297,0.231000
2011-02-25,0.720000,1.531915,1.365214,0.235000
2011-02-28,0.690000,1.527947,1.367343,0.237000
2011-03-01,0.660000,1.544762,1.377623,0.238000
