"CubeId";"rendeiduebd"
"PublishingDate";"2026-08-03 14:30"

"Date";"D0";"D1";"Value"
"1988-01-19";"GBB";"5J";
"1988-01-19";"GBB";"10J";
"1988-01-19";"GBC";"2J";
"1988-01-19";"GBC";"5J";
"1988-01-19";"GBC";"10J";
"1988-01-19";"IHA";"2J";
"1988-01-19";"IHA";"5J";
"1988-01-19";"IHA";"10J";
"1988-01-19";"IHB";"2J";
"1988-01-19";"IHB";"5J";
"1988-01-19";"IHB";"10J";
"1988-01-20";"CHF";"1J";
"1988-01-20";"CHF";"2J";
"1988-01-20";"CHF";"3J";
"1988-01-20";"CHF";"4J";
"1988-01-20";"CHF";"5J";
"1988-01-20";"CHF";"6J";
"1988-01-20";"CHF";"7J";
"1988-01-20";"CHF";"8J";
"1988-01-20";"CHF";"9J";
"1988-01-20";"CHF";"10J";
"1988-01-20";"CHF";"20J";
"1988-01-20";"CHF";"30J";
"1988-01-20";"EUR";"1J";
"1988-01-20";"EUR";"2J";
"1988-01-20";"EUR";"3J";
"1988-01-20";"EUR";"4J";
"1988-01-20";"EUR";"5J";
"1988-01-20";"EUR";"6J";
"1988-01-20";"EUR";"7J";
"1988-01-20";"EUR";"8J";
"1988-01-20";"EUR";"9J";
"1988-01-20";"EUR";"10J";
"1988-01-20";"EUR";"20J";
"1988-01-20";"EUR";"30J";
"1988-01-20";"KTA";"2J";
"1988-01-20";"KTA";"5J";
"1988-01-20";"KTA";"10J";
"1988-01-20";"KTB";"2J";
"1988-01-20";"KTB";"5J";
"1988-01-20";"KTB";"10J";
"1988-01-20";"PFI";"2J";
"1988-01-20";"PFI";"5J";
"1988-01-20";"PFI";"10J";
"1988-01-20";"GBA";"2J";
"1988-01-20";"GBA";"5J";
"1988-01-20";"GBA";"10J";
"1988-01-20";"GBB";"2J";
"1988-01-20";"GBB";"5J";
"1988-01-20";"GBB";"10J";
"1988-01-20";"GBC";"2J";
"1988-01-20";"GBC";"5J";
"1988-01-20";"GBC";"10J";
"1988-01-20";"IHA";"2J";
"1988-01-20";"IHA";"5J";
"1988-01-20";"IHA";"10J";
"1988-01-20";"IHB";"2J";
"1988-01-20";"IHB";"5J";
"1988-01-20";"IHB";"10J";
"1988-01-21";"CHF";"1J";
"1988-01-21";"CHF";"2J";
"1988-01-21";"CHF";"3J";
"1988-01-21";"CHF";"4J";
"1988-01-21";"CHF";"5J";
"1988-01-21";"CHF";"6J";
"1988-01-21";"CHF";"7J";
"1988-01-21";"CHF";"8J";
"1988-01-21";"CHF";"9J";
"1988-01-21";"CHF";"10J";
"1988-01-21";"CHF";"20J";
"1988-01-21";"CHF";"30J";
"1988-01-21";"EUR";"1J";
"1988-01-21";"EUR";"2J";
"1988-01-21";"EUR";"3J";
"1988-01-21";"EUR";"4J";
"1988-01-21";"EUR";"5J";
"1988-01-21";"EUR";"6J";
"1988-01-21";"EUR";"7J";
"1988-01-21";"EUR";"8J";
"1988-01-21";"EUR";"9J";
"1988-01-21";"EUR";"10J";
"1988-01-21";"EUR";"20J";
"1988-01-21";"EUR";"30J";
"1988-01-21";"KTA";"2J";
"1988-01-21";"KTA";"5J";
"1988-01-21";"KTA";"10J";
"1988-01-21";"KTB";"2J";
"1988-01-21";"KTB";"5J";
"1988-01-21";"KTB";"10J";
"1988-01-21";"PFI";"2J";
"1988-01-21";"PFI";"5J";
"1988-01-21";"PFI";"10J";
"1988-01-21";"GBA";"2J";
"1988-01-21";"GBA";"5J";
"1988-01-21";"GBA";"10J";
"1988-01-21";"GBB";"2J";
"1988-01-21";"GBB";"5J";
"1988-01-21";"GBB";"10J";
"1988-01-21";"GBC";"2J";
"1988-01-21";"GBC";"5J";
"1988-01-21";"GBC";"10J";
"1988-01-21";"IHA";"2J";
"1988-01-21";"IHA";"5J";
"1988-01-21";"IHA";"10J";
"1988-01-21";"IHB";"2J";
"1988-01-21";"IHB";"5J";
"1988-01-21";"IHB";"10J";
"1988-01-22";"CHF";"1J";
"1988-01-22";"CHF";"2J";
"1988-01-22";"CHF";"3J";
"1988-01-22";"CHF";"4J";
"1988-01-22";"CHF";"5J";
"1988-01-22";"CHF";"6J";
"1988-01-22";"CHF";"7J";
"1988-01-22";"CHF";"8J";
"1988-01-22";"CHF";"9J";
"1988-01-22";"CHF";"10J";
"1988-01-22";"CHF";"20J";
"1988-01-22";"CHF";"30J";
"1988-01-22";"EUR";"1J";
"1988-01-22";"EUR";"2J";
"1988-01-22";"EUR";"3J";
"1988-01-22";"EUR";"4J";
"1988-01-22";"EUR";"5J";
"1988-01-22";"EUR";"6J";
"1988-01-22";"EUR";"7J";
"1988-01-22";"EUR";"8J";
"1988-01-22";"EUR";"9J";
"1988-01-22";"EUR";"10J";
"1988-01-22";"EUR";"20J";
"1988-01-22";"EUR";"30J";
"1988-01-22";"KTA";"2J";
"1988-01-22";"KTA";"5J";
"1988-01-22";"KTA";"10J";
